id,dzId,t,a,y,g,ai,dec,st
1540,75298520,(Ghost) Riders in the Sky,Johnny Cash,,Country,J,,pop
1541,128846787,Bridge Over Troubled Water,Johnny Cash,,Country,J,,pop
1542,3612567702,K-Pop Demon Hunters | Free,Just Let That Sh*t Go,,K-pop,J,,kpop
1543,2154046537,KÁRMIKA,KAROL G,,Dancehall,K,,pop
1544,71599782,Afro Beat,Kaïssa,,Afrobeat,K,,pop
1545,2979496721,Lose Yourself (Piano Version),Kim Bo,,Hip hop,K,,hiphop
1546,3497256241,Ba Ba Bad,Kybba,,Dancehall,K,,pop
1547,701281342,Higher Love,Kygo,,R&B Soul,K,,funk
1548,2505983801,Mr President,L'Entourloop,,Ska,L,,pop
1549,80912296,Aire,La Gossa Sorda,,Ska punk,L,,pop
1550,80912282,Esbarzers,La Gossa Sorda,,Ska punk,L,,pop
1551,2816800222,Lose Yourself Eminem,Lee Sang Gul,,Hip hop,L,,hiphop
1552,2400270265,Hip-Hop,Les Frères Casquette,,Hip hop,L,,hiphop
1553,3401916591,Hip-Hop,Lil Wayne,,Hip hop,L,,hiphop
1554,39324841,C.O.U.N.T.R.Y.,LoCash Cowboys,,Country,L,,pop
1555,5055550,Make A Move,Los Charly's Orchestra,,Disco,L,,pop
1556,12610622,Feeling High,Los Charly's Orchestra,,Disco,L,,pop
1557,568563592,Love On The Brain,Love On The Brain,,Pop,L,,pop
1558,4028410751,The Fun Pop,LuRa LinDa,,Funk,L,,funk
1559,3870951661,MPB (Ela ouve serenata),Luccas & Rodrigo,,Country,L,,pop
1560,97094250,Don't Worry (with Ray Dalton),Madcon,,Reggae,M,,pop
1561,40528231,Afro-Beat,Manu Dibango,,Afrobeat,M,,pop
1562,3412534661,Score Suite,Marcelo Zarvos,,K-pop,M,,kpop
1563,3541756621,Prologue (Hunter’s Mantra),Marcelo Zarvos,,K-pop,M,,kpop
1564,556853932,Lose Yourself,Maria Fiselier,,Hip hop,M,,hiphop
1565,596057,When You Believe (from The Prince of Egypt),Mariah Carey,,R&B Soul,M,,funk
1566,3412534641,"사랑인가 봐 Love, Maybe",MeloMance,,K-pop,M,,kpop
1567,59509531,Bad,Michael Jackson,,Pop,M,,pop
1568,555640,Beat It,Michael Jackson,,Pop,M,,pop
1569,555639,Thriller,Michael Jackson,,Pop,M,,pop
1570,59509611,Dirty Diana,Michael Jackson,,Pop,M,,pop
1571,831196,Human Nature,Michael Jackson,,Pop,M,,pop
1572,59509561,Liberian Girl,Michael Jackson,,Pop,M,,pop
1573,15593565,Heal the World,Michael Jackson,,Pop,M,,pop
1574,4603400,Smooth Criminal,Michael Jackson,,Pop,M,,pop
1575,15593563,Remember the Time,Michael Jackson,,Pop,M,,pop
1576,4306787,Blow,Miles Davis,,Jazz,M,,pop
1577,664205,Tutu,Miles Davis,,Jazz,M,,pop
1578,4306788,Sonya,Miles Davis,,Jazz,M,,pop
1579,4306783,Mystery,Miles Davis,,Jazz,M,,pop
1580,4306789,Fantasy,Miles Davis,,Jazz,M,,pop
1581,508354682,Générique,Miles Davis,,Jazz,M,,pop
1582,4306785,Chocolate Chip,Miles Davis,,Jazz,M,,pop
1583,4306786,High Speed Chase,Miles Davis,,Jazz,M,,pop
1584,4306784,The Doo-Bop Song,Miles Davis,,Jazz,M,,pop
1585,1114366,My Funny Valentine,Miles Davis,,Jazz,M,,pop
1586,581910,Dance Hall,Modest Mouse,,Dancehall,M,,pop
1587,2112349,Hip Hop,Mos Def,,Hip hop,M,,hiphop
1588,1753095207,Dance Hall,Mrs. Green Apple,,Dancehall,M,,pop
1589,3841740411,Here,Mumford & Sons,,Indie folk,M,,pop
1590,584250422,Woman,Mumford & Sons,,Indie folk,M,,pop
1591,3841740511,Badlands,Mumford & Sons,,Indie folk,M,,pop
1592,4307635,The Cave,Mumford & Sons,,Indie folk,M,,pop
1593,3841740461,Alleycat,Mumford & Sons,,Indie folk,M,,pop
1594,1245943772,Skanking Shoes,Naâman,,Ska,N,,pop
